Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
14-12-2015,Cab search Comparison & Booking platform,Undefined,New Delhi,Prashanth Ranganathan,Seed Funding Round,1.6,
14-12-2015,Performance Optimization Platform for athletes,Undefined,Boston,Infosys,Private Equity,24,
15-12-2015,visual search and discovery platform,Undefined,Bangalore / Palo Alto,Undisclosed,Seed Funding Round,8,
16-12-2015,Home services marketplace,Undefined,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,180,
16-12-2015,End to End reverse logistics Solution platform,Undefined,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding Round,16,
16-12-2015,Virtual Health consultation app,Undefined,Mumbai,Unilazer,Private Equity,9.6,
18-12-2015,Electric Bike Manufacturers,Undefined,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding Round,9.6,
18-12-2015,International Hiring Platform,Undefined,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding Round,1.6,
21-12-2015,Logistics Service Provider Marketplace,Undefined,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,16,
21-12-2015,Hyperlocal Grocery Delivery Service,Undefined,Gurgaon,Innoven Capital,Private Equity,32,
22-12-2015,Artificial Intelligence platform,Undefined,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,6,
23-12-2015,B2B E-Commerce Marketplace,Undefined,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,40,
24-12-2015,B2B Merchandize platform,Undefined,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding Round,2.42,
28-12-2015,Grocery Delivery platform,Undefined,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding Round,8,
28-12-2015,Mobile Car Servicing appointment app,Undefined,Bangalore,SAIF Partners,Seed Funding Round,4,
29-12-2015,New Curation Mobile App,Undefined,Bangalore,Mahavir Pratap Sharma,Seed Funding Round,1.2,
02-11-2015,Bus Aggregation and rental mobile app,Undefined,Mumbai,IDG Ventures,Seed Funding Round,6,
03-11-2015,Alternate Mobile Monetization platform,Undefined,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,40,
03-11-2015,Online Food Ordering Marketplace,Undefined,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding Round,1.2,
03-11-2015,Quick Service Restaurant & Online Delivery,Undefined,Mumbai,Riqueza Capital,Seed Funding Round,3.08,
03-11-2015,Online Loans Marketplace,Undefined,Mumbai,Undefined,Seed Funding Round,2.56,
03-11-2015,Budget Hotels Aggregator,Undefined,New Delhi,Dheeraj Jain & Others,Seed Funding Round,4,
03-11-2015,Efficient Energy Management platform,Undefined,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,132.8,
05-11-2015,Domestic Help Aggregation platform,Undefined,Mumbai,Vineel Nalla & Others,Seed Funding Round,1.2,
05-11-2015,Home Stay & room rentals platform,Undefined,Goa,Undisclosed investors,Seed Funding Round,1.6,
06-11-2015,Online content platform for women,Undefined,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,16,
06-11-2015,Online Vehicle Spare Parts etailer,Undefined,Pune,"Hyderabad Angels, M&S Partners",Seed Funding Round,3.68,
06-11-2015,Event Ticketing platform,Undefined,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,3.92,
06-11-2015,Premium dining Lounges & restaurants,Undefined,Gurgaon,Chandralekha Construction Pvt. Ltd,Private Equity,120,
09-11-2015,Mobile Growth Hacking Platform,Undefined,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding Round,4,
09-11-2015,Skill Training Startup,Undefined,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,12,
09-11-2015,Beauty and Wellness Marketplace,Undefined,Mumbai,Info Edge,Private Equity,8,
09-11-2015,On-demand Maids Service Provider,Undefined,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding Round,1.2,
09-11-2015,E-Commerce Product Search Engine,Undefined,Mumbai,undisclosed investor,Seed Funding Round,1.2,
10-11-2015,Ready to cook packaged Foods,Undefined,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,48,
11-11-2015,Branded Food products online sales,Undefined,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,4.8,
12-11-2015,Cricket Management Mobile Game,Undefined,Hyderabad,Chennai Angels,Seed Funding Round,2,
16-11-2015,Ecommerce Discount & Cashback coupons platform,Undefined,Gurgaon,Kalaari Capital,Private Equity,29.6,
16-11-2015,Virtual Reality Headset creator,Undefined,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding Round,1.44,
16-11-2015,mobile-only tasks marketplace,Undefined,New Delhi,Times Internet,Private Equity,120,
17-11-2015,Designer fashion Jewellery Marketplace,Undefined,Bangalore,Jitu Virwani,Seed Funding Round,60,
17-11-2015,Kids Tool kit for Innovation platform,Undefined,Bangalore,Ravi Krishnamurthy,Seed Funding Round,4.24,
18-11-2015,Viral Content web Platform,Undefined,New Delhi,Kalaari Capital,Private Equity,32,
19-11-2015,Smartwatch Maker,Undefined,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding Round,4,
19-11-2015,Online Jewellery etailer,Undefined,New Delhi,Indian Angel Network,Seed Funding Round,3.64,
20-11-2015,Nightlife Discovery Mobile App,Undefined,Mumbai,Undisclosed investors,Seed Funding Round,1.2,
20-11-2015,Online Real Estate Marketplace,Undefined,Bangalore,Hampton Capital,Private Equity,24,
21-11-2015,Indian Ethnic Crafts Etailer,Undefined,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,9.6,
21-11-2015,Social platform for traders and investors,Undefined,Bangalore,Undisclosed investors,Seed Funding Round,0.8,
23-11-2015,Healthcare Services Discovery platform,Undefined,Bangalore,Anil Menon,Seed Funding Round,0.8,
24-11-2015,Online and TV Shopping Marketplace,Undefined,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,416,
25-11-2015,Mobile App based Loan disbursement platform,Undefined,Mumbai,Ashok Agarwal,Seed Funding Round,12,
25-11-2015,On Demand Laundry Services App,Undefined,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding Round,0.88,
25-11-2015,Education Content Provider,Undefined,New Delhi,IFC Everstone Group,Private Equity,216,
26-11-2015,Hyperlocal healthcare product Delivery Service provider,Undefined,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA)",Private Equity,8,
30-11-2015,Two-Wheeler Taxi Service,Undefined,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia",Seed Funding Round,11.6,
30-11-2015,Character merchandize sales platform,Undefined,Mumbai,DSG Consumer Partners,Seed Funding Round,4.32,
30-11-2015,Ecommerce Delivery locker services,Undefined,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,72,
01-10-2015,Movie-on-demand platform,Undefined,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding Round,2.8,
02-10-2015,Product discovery & recommendation platform,Undefined,Bangalore,Kalaari Capital,Private Equity,16,
05-10-2015,Fashion jewelry and accessories e-tailer,Undefined,Jaipur,Peepul Capital,Private Equity,120,
05-10-2015,Online Consumer Lending platform,Undefined,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,8,
05-10-2015,Premium Apparel shopping portal,Undefined,New Delhi,High Networth Individuals (undisclosed),Seed Funding Round,1.2,
06-10-2015,Exclusive Platform for Doctors & Healthcare professionals,Undefined,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding Round,5.6,
06-10-2015,Sports Management & Physical Education Business,Undefined,Bangalore,Gaja Capital Private Equity Fund,Private Equity,80,
06-10-2015,Online Homeopathy Clinic,Undefined,Mumbai,Unnamed Media house and HNIs,Private Equity,48,
07-10-2015,E-Learning Service Provider,Undefined,Mumbai,High Networth Individuals from India & USA,Private Equity,24,
07-10-2015,Delivery & Logistics Service provider,Undefined,Gurgaon,Snapdeal,Private Equity,160,
08-10-2015,Home Cooked Food marketplace & Delivery,Undefined,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,16,
08-10-2015,Gesture based Mobile Development,Undefined,New Delhi,"Tiger Global Management, Flipkart",Private Equity,61.6,
08-10-2015,Rental Accommodation Search platform,Undefined,Bangalore,Sequoia and Kalaari Capital,Private Equity,80,
08-10-2015,Logistics Tech Platform,Undefined,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding Round,2.48,
09-10-2015,End-to-End Lending platform,Undefined,Bangalore / San Mateo,SF Capital Group,Private Equity,64,
09-10-2015,on-demand healthcare marketplace,Undefined,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding Round,2.4,
09-10-2015,Advertising & Marketing Community Networking platform,Undefined,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding Round,8,
09-10-2015,Food Ordering & Delivery App,Undefined,New Delhi,Suyash Sharma,Seed Funding Round,0.62,
12-10-2015,Ride Sharing Platform,Undefined,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding Round,1.52,
12-10-2015,Cloud Based Collaboration platform,Undefined,Ahmedabad,LetsVenture,Seed Funding Round,0.8,
13-10-2015,Mobile Only Shopping Assistant,Undefined,New Delhi,SAIF Partners,Seed Funding Round,8,
13-10-2015,Mobile Messaging Assistant App,Undefined,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,20,
14-10-2015,Personalized Wish List creator app,Undefined,Noida,Turning Ideas,Seed Funding Round,0.4,
17-10-2015,Structural & Civil Engg Service Automation,Undefined,Mumbai,Parampara Capital,Private Equity,8,
19-10-2015,Payments Solution platform,Undefined,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,200,
19-10-2015,Travel Destination Discovery platform,Undefined,New Delhi,Aarti Group,Seed Funding Round,0.8,
20-10-2015,Last Mile Delivery Service,Undefined,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,56,
20-10-2015,Healthcare IT Solutions & services,Undefined,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,80,
21-10-2015,Real Estate Mobile CRM,Undefined,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding Round,23.6,
21-10-2015,Micro-Brewery,Undefined,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,12.24,
21-10-2015,Home Made Food Marketplace,Undefined,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding Round,0.8,
21-10-2015,residential rental management platform,Undefined,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding Round,5.12,
23-10-2015,Personal Diagnostic Mobile App,Undefined,Mumbai,Group of Angel investors,Seed Funding Round,1.2,
23-10-2015,Online food ordering & Delivery service,Undefined,Gurgaon,Group of Angel investors,Seed Funding Round,1.2,
23-10-2015,Online food ordering & Delivery service,Undefined,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,8,
23-10-2015,Hotel Aggregator & booking platform,Undefined,New Delhi,ID Enablers Pvt Ltd,Seed Funding Round,2,
26-10-2015,Online Logistics Platform,Undefined,Bangalore,Delhivery,Private Equity,40,
26-10-2015,Online Student & Campus Social Networking platform,Undefined,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding Round,3.2,
26-10-2015,Professionals & Project Search Marketplace,Undefined,New Delhi,undisclosed private investors,Seed Funding Round,4,
26-10-2015,Online Pharmacy,Undefined,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,400,
27-10-2015,Location based Nightlife recommendation Platform,Undefined,Mumbai,Unnamed investor,Seed Funding Round,0.62,
27-10-2015,Hyperlocal Logistics Service,Undefined,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,80,
28-10-2015,Asset Financing platform,Undefined,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding Round,8.8,
28-10-2015,Virtual Reality activity based learning platform,Undefined,New Delhi,S Chand and Co Pvt Ltd,Seed Funding Round,1.6,
29-10-2015,Public Commute helper App,Undefined,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding Round,3.6,
30-10-2015,Ride Sharing Platform,Undefined,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding Round,1.04,
30-10-2015,Food Discovery & Delivery Mobile app,Undefined,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,60,
30-10-2015,Competitive exam learning platform,Undefined,Mumbai,InnoVen Capital,Private Equity,16,
30-10-2015,Document Digitization platform,Undefined,Gurgaon,GREX,Seed Funding Round,1.84,
01-09-2015,FinTech Startup Incubation platform,Undefined,Mumbai,Tania Johny Palathinkal,Seed Funding Round,0.8,
01-09-2015,Personalized Styling platform,Undefined,Mumbai,Group of HNI investors,Private Equity,8,
01-09-2015,Luxury goods Shopping Platform,Undefined,Gurgaon,Reliance Capital,Private Equity,7.2,
02-09-2015,Online Lingerie Marketplace,Undefined,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,320,
02-09-2015,Cloud software solutions,Undefined,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,360,
03-09-2015,Job Search Platform,Undefined,Bangalore,Purvi Capital,Seed Funding Round,2.08,
03-09-2015,Small Business Financing (NBFC),Undefined,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,320,
04-09-2015,Online Movie Review Platform,Undefined,Mumbai,R M Picture Company Pvt. Ltd,Seed Funding Round,1.2,
04-09-2015,E-commerce,Undefined,Mumbai,Ashish Jhalani,Seed Funding Round,0.8,
04-09-2015,Cloud-based Hotel Booking Platform,Undefined,Bangalore,Karanpal Singh,Seed Funding Round,16,
07-09-2015,Community Driven News/Views Platform,Undefined,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding Round,4.8,
07-09-2015,Dairy Based Product Manufacturer,Undefined,Bhopal,Acumen Fund,Private Equity,14.4,
08-09-2015,Government Test Preparation platform,Undefined,Bangalore,Blume Ventures,Seed Funding Round,3.2,
10-09-2015,Multilingual Test Preparation Platform,Undefined,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,6.16,
10-09-2015,Non Profit Organization to alleviate poverty,Undefined,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding Round,2.52,
12-09-2015,Used Vehicles Marketplace,Undefined,Mumbai,Eight Road Ventures,Private Equity,120,
14-09-2015,Mobile App testing platform,Undefined,Hyderabad,Bessemer Venture Partners,Seed Funding Round,9.6,
14-09-2015,Hyperlocal Delivery Services,Undefined,Gurgaon,Eight Roads Ventures,Private Equity,72,
14-09-2015,Early Cancer Detection Solutions,Undefined,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,24,
15-09-2015,Chain of Tea Cafe,Undefined,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding Round,8,
16-09-2015,Food Subscription platform,Undefined,Bangalore,Eight Roads Ventures,Private Equity,80,
16-09-2015,Wedding Planning Platform,Undefined,Gurgaon,Indian Angel Network,Seed Funding Round,3.28,
16-09-2015,B2B Mobile Auction Marketplace,Undefined,Mumbai,Oliphans Capital,Seed Funding Round,3.6,
17-09-2015,Online Food ordering & delivery,Undefined,Gurgaon,High Networth Individuals (No details),Seed Funding Round,4.8,
18-09-2015,Real Estate Broker Platform App,Undefined,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding Round,2.8,
18-09-2015,Internet of Things platform,Undefined,New Delhi,Undisclosed,Seed Funding Round,1.2,
18-09-2015,Diagnostic Labs aggregator platform,Undefined,Gurgaon,Multiple investors,Seed Funding Round,1.2,
21-09-2015,Home Medical Care Services,Undefined,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,300,
21-09-2015,Real-Time stock data platform,Undefined,Bangalore,Rainmatter,Seed Funding Round,1.88,
22-09-2015,Financial Services Portal,Undefined,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,24,
22-09-2015,"virtual reality, 3d simulation and stereoscopic products",Undefined,Bangalore,Swarnim Multiventures,Private Equity,6.4,
22-09-2015,Online Interior Designing platform,Undefined,Bangalore,Bhavdeep Reddy,Seed Funding Round,3.2,
22-09-2015,End-to-end Logistics platform,Undefined,Mumbai,Paytm,Private Equity,80,
22-09-2015,Private Label Apparel sales,Undefined,New Delhi,Asha Jadeja Motwani & Others,Seed Funding Round,2.4,
23-09-2015,Cross-device retargeting platform,Undefined,Gurgaon / SFO,M&S Partners,Private Equity,9.6,
23-09-2015,Digital & Physical Publishing platform,Undefined,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,18,
24-09-2015,Data Driven Publishing platform,Undefined,Bangalore,Raghav Bahl,Private Equity,26.4,
24-09-2015,Employee OnBoarding & Orientation platform,Undefined,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding Round,3.2,
24-09-2015,Solar Power Solutions company,Undefined,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,16,
29-09-2015,Mobile Advertising platform,Undefined,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,800,
29-09-2015,Fashion Discovery platform,Undefined,New Delhi,Uniqorn Ventures,Seed Funding Round,2.8,
30-09-2015,Big Data Management Platform,Undefined,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,40,
30-09-2015,Digital Signal processing platform,Undefined,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding Round,8,
01-08-2015,Restaurant Discount app,Undefined,Pune,Mohandas Pai & others,Seed Funding Round,3.2,
03-08-2015,User Engagment & Analytics platform,Undefined,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,76.8,
04-08-2015,On-Demand Delivery Logistics,Undefined,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,10.4,
05-08-2015,Fund raising platform for startups,Undefined,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding Round,5.2,
05-08-2015,Online budget hotel chain,Undefined,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,240,
05-08-2015,Hyperlocal Handyman services,Undefined,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,24,
05-08-2015,Tech Platform for property brokers,Undefined,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding Round,6.28,
06-08-2015,App security testing platform,Undefined,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding Round,4,
06-08-2015,Crowd funding platform,Undefined,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding Round,5.6,
07-08-2015,Fast food Chain Franchisee,Undefined,Gurgaon,YouWeCan Ventures,Seed Funding Round,5.04,
07-08-2015,Loyalty Programs & Reward Points,Undefined,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,4,
10-08-2015,E-commerce,Undefined,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding Round,0.64,
10-08-2015,mobile social network,Undefined,New Delhi,QPrize from Qualcomm Ventures,Seed Funding Round,2,
10-08-2015,Hyper-Local Ecommerce,Undefined,New Delhi,Sequoia Capital,Private Equity,128,
10-08-2015,Online printing marketplace,Undefined,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding Round,2,
10-08-2015,Automated Storage & Warehousing Solution,Undefined,Gurgaon,Tiger Global Management,Private Equity,240,
11-08-2015,Quick Service Restaurant Chain,Undefined,Kolkata,Indian Angel Network,Seed Funding Round,12.8,
11-08-2015,engineering services company,Undefined,Mumbai,Zodius Technology Fund,Private Equity,160,
11-08-2015,Business and IT consulting,Undefined,New Delhi / US,ChrysCapital,Private Equity,504,
13-08-2015,Ecommerce Marketing Software Platform,Undefined,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors",Seed Funding Round,4,
13-08-2015,Financial Inclusion platform,Undefined,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,200,
17-08-2015,Exam Preparation Platform,Undefined,New Delhi,Nalin Jain & other angel investors,Seed Funding Round,1.76,
17-08-2015,Waste Management Service,Undefined,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding Round,1.28,
18-08-2015,Data Analytics Platform,Undefined,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,33.6,
18-08-2015,Deep Learning Cloud Algorithms,Undefined,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding Round,8,
18-08-2015,Corporate Wellness App,Undefined,Bangalore,RoundGlass Partners,Private Equity,8,
19-08-2015,Online Furniture Marketplace,Undefined,Bangalore,AskMe,Private Equity,160,
20-08-2015,Online Diagnostic Tests Marketplace,Undefined,New Delhi,Group of Angel Investors,Seed Funding Round,1.25,
20-08-2015,Online marketplace for Photographers,Undefined,Hyderabad,Indian Angel Network,Seed Funding Round,4.8,
20-08-2015,Visual Blogging platform,Undefined,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding Round,4.8,
21-08-2015,Job Search Platform,Undefined,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding Round,4,
24-08-2015,Food Customer analytics platform,Undefined,Ahmedabad,The 1947,Seed Funding Round,2.4,
24-08-2015,Professional Service Appointment booking service,Undefined,Mumbai,Ajmera Group of Companies,Seed Funding Round,3.2,
25-08-2015,On-Demand App based Professional service provider,Undefined,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,8,
25-08-2015,Cross-channel CRM platform,Undefined,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,32,
26-08-2015,On-Demand Beauty Service,Undefined,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding Round,3.2,
26-08-2015,Online Food Community Platform,Undefined,Gurgaon,Undisclosed Investor,Seed Funding Round,4,
28-08-2015,QSR Restaurant Chain,Undefined,Pune,Equentia Natural Resources,Seed Funding Round,1.28,
31-08-2015,Language Localization Cloud platform,Undefined,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,32,
01-07-2015,CRM / Analytics platform,Undefined,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding Round,8,
01-07-2015,Hyperlocal Electronics repair Service,Undefined,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding Round,5.04,
01-07-2015,IT infrastructure & Data Center services,Undefined,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,108,
02-07-2015,Online Financial Services,Undefined,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,480,
02-07-2015,Used Car Marketplace,Undefined,Bangalore,SAIF Partners,Private Equity,40,
03-07-2015,Language Learning App,Undefined,Jaipur,Tiger Global,Private Equity,52,
06-07-2015,Ethnic Beverages manufacturer,Undefined,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,240,
07-07-2015,Budget Accommodation aggregator,Undefined,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,24,
07-07-2015,Real Estate Rating & Analysis,Undefined,New Delhi,DMG information Asia Pacific,Private Equity,40,
08-07-2015,Big Data Management Platform,Undefined,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,240,
08-07-2015,Coupon Aggregator Platform,Undefined,Kanpur,Not Disclosed,Seed Funding Round,0.16,
08-07-2015,Online Food-Tech Platform,Undefined,Mumbai,Mirah Hospitality,Seed Funding Round,3.76,
08-07-2015,Celebrity Fashion Brand,Undefined,Bangalore,Accel Partners,Private Equity,60,
08-07-2015,Healthcare Mobile App,Undefined,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,81.6,
14-07-2015,Online comparison engine,Undefined,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,80,
14-07-2015,Physical Storage warehouses,Undefined,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners",Seed Funding Round,2.4,
14-07-2015,Tech Recruitment platform,Undefined,Bangalore,HR Technology fund,Private Equity,60,
14-07-2015,Tech enabled logistics platform,Undefined,Mumbai,Tamarind Family Private Trust,Seed Funding Round,4,
17-07-2015,F&B sector Mobile Payment platform,Undefined,Mumbai,Snow Leopard Technology Ventures,Private Equity,12.8,
17-07-2015,Industrial Supplies B2B ecommerce,Undefined,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding Round,0.8,
21-07-2015,Organic Food ecommerce,Undefined,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,8,
22-07-2015,Fine Dining Restaurant Chain,Undefined,Mumbai,India Value Fund Advisors,Private Equity,240,
23-07-2015,Online Grocers,Undefined,Ahmedabad,Jayant Bokadia,Seed Funding Round,2.56,
23-07-2015,Travel information portal,Undefined,Bangalore,MakeMyTrip,Private Equity,120,
24-07-2015,Real Estate Broker network App,Undefined,Gurgaon,Lightspeed India,Private Equity,8,
27-07-2015,Spa & Salon Management Software,Undefined,Hyderabad,Accel Partners,Private Equity,48,
28-07-2015,Online Marketplace,Undefined,Bangalore,Steadview Capital and existing investors,Private Equity,5600,
29-07-2015,Hyperlocal Handyman Services,Undefined,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,\\xc2\\xa0 Mohandas Pai",Private Equity,16,
29-07-2015,Medical Tech Instruments,Undefined,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding Round,19.2,
29-07-2015,Hyperlocal Deals Marketplace,Undefined,Bangalore,"Paytm, SAIF Partners,\\xc2\\xa0 Tiger Global Management & others",Private Equity,400,
29-07-2015,Innovative Water Solutions,Undefined,Gurgaon,Abhishek Gupta,Private Equity,9.6,
30-07-2015,Online Jewelry Store,Undefined,Mumbai,LionRock Capital,Private Equity,4.8,
30-07-2015,Business intelligence & Analytics,Undefined,Mumbai,SIDBI Venture Capital Ltd,Private Equity,19.2,
30-07-2015,Used Vehicle Marketplace,Undefined,New Delhi,"Lightbox Ventures, Beenos",Private Equity,128,
30-07-2015,Chinese food delivery,Undefined,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding Round,1.34,
31-07-2015,Hyperlocal Grocery App,Undefined,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,4,
31-07-2015,Hasbro Toy Manufacturer,Undefined,Pune,Oliphabs Capital,Private Equity,16,
31-07-2015,Travel Tech,Undefined,Gurgaon,MakeMyTrip,Private Equity,40,
01-06-2015,Healthy Food Manufacturer,Undefined,New Delhi,"DSG Consumer Partners, Saama Capital",Private Equity,48,
01-06-2015,Online Learning Platform,Undefined,New Delhi,InfoEdge,Private Equity,32,
