Date,Industry_Vertical,Sub_Vertical,City,Invester_name,Investment_Type,Funding_Amount_in_cr,Startup_name
02-12-2018,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,6.4,Engineer.Ai
02-12-2018,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4.58,Incred Finance
04-12-2018,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding Round,1.14,Roposo
06-12-2018,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate",Seed Funding Round,16,Origo Commodities India Pvt. Ltd
06-12-2018,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28,Grover Zampa
01-11-2018,Food & Beverages,Regional Flavours,Bengaluru,Lead Angels Network,Seed Funding Round,1.11,Droom
03-11-2018,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,222.39,Innov8
08-11-2018,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4,Netmeds
08-11-2018,Food & Beverages,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,8,Daily Hunt
12-11-2018,Food & Beverages,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,10.4,Nykaa
13-11-2018,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,8,Dream11
14-11-2018,Services,Car Wash,Bengaluru,Venture Catalysts,Seed Funding Round,4,Autogrid
19-11-2018,Automation,Robotics,California,SoftBank Vision Fund,Series B,2400,Pharmeasy
20-11-2018,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital",Series B (Extension),48,Upwards
21-11-2018,Education,Personalized Learning,Noida,Individual investors,Seed Funding Round,2.22,Kissht
22-11-2018,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Funding,248,Dishq
